STATIONARY, 99, 17:00:00.000
STATIONARY, 99, 17:00:10.000
STATIONARY, 99, 17:00:20.000
STATIONARY, 99, 17:00:30.000
STATIONARY, 99, 17:00:40.000
STATIONARY, 99, 17:00:50.000
STATIONARY, 99, 17:01:00.000
STATIONARY, 99, 17:01:10.000
STATIONARY, 99, 17:01:20.000
STATIONARY, 98, 17:01:30.000
STATIONARY, 96, 17:01:40.000
STATIONARY, 97, 17:01:50.000
STATIONARY, 96, 17:02:00.000
UNKNOWN, 100, 17:02:10.000
STATIONARY, 91, 17:02:20.000
UNKNOWN, 100, 17:02:30.000
STATIONARY, 38, 17:02:40.000
UNKNOWN, 40, 17:02:50.000
UNKNOWN, 40, 17:03:00.000
UNKNOWN, 40, 17:03:10.000
UNKNOWN, 40, 17:03:20.000
UNKNOWN, 40, 17:03:30.000
UNKNOWN, 40, 17:03:40.000
UNKNOWN, 40, 17:03:50.000
STATIONARY, 59, 17:04:00.000
UNKNOWN, 40, 17:04:10.000
UNKNOWN, 40, 17:04:20.000
UNKNOWN, 40, 17:04:30.000
UNKNOWN, 40, 17:04:50.000
UNKNOWN, 40, 17:05:00.000
UNKNOWN, 40, 17:05:10.000
UNKNOWN, 40, 17:05:20.000
UNKNOWN, 40, 17:05:30.000
UNKNOWN, 40, 17:05:40.000
WALKING, 87, 17:05:50.000
WALKING, 81, 17:06:00.000
UNKNOWN, 40, 17:06:10.000
WALKING, 81, 17:06:20.000
WALKING, 91, 17:06:30.000
UNKNOWN, 100, 17:06:40.000
WALKING, 87, 17:06:50.000
UNKNOWN, 100, 17:07:00.000
UNKNOWN, 40, 17:07:10.000
STATIONARY, 39, 17:07:20.000
WALKING, 85, 17:07:30.000
STATIONARY, 98, 17:07:40.000
WALKING, 90, 17:07:50.000
STATIONARY, 99, 17:08:00.000
WALKING, 88, 17:08:10.000
STATIONARY, 97, 17:08:20.000
UNKNOWN, 40, 17:08:30.000
WALKING, 87, 17:08:40.000
STATIONARY, 96, 17:08:50.000
WALKING, 85, 17:09:00.000
STATIONARY, 98, 17:09:10.000
WALKING, 90, 17:09:20.000
STATIONARY, 99, 17:09:30.000
WALKING, 88, 17:09:40.000
STATIONARY, 97, 17:09:50.000
WALKING, 87, 17:10:00.000
STATIONARY, 96, 17:10:10.000
WALKING, 85, 17:10:20.000
STATIONARY, 98, 17:10:30.000
WALKING, 90, 17:10:40.000
STATIONARY, 99, 17:10:50.000
WALKING, 88, 17:11:00.000
STATIONARY, 97, 17:11:10.000
WALKING, 87, 17:11:20.000
STATIONARY, 96, 17:11:30.000
WALKING, 85, 17:11:40.000
STATIONARY, 98, 17:11:50.000
WALKING, 90, 17:12:00.000
STATIONARY, 99, 17:12:10.000
WALKING, 88, 17:12:20.000
STATIONARY, 97, 17:12:30.000
WALKING, 87, 17:12:40.000
STATIONARY, 96, 17:12:50.000
WALKING, 85, 17:13:00.000
STATIONARY, 98, 17:13:10.000
WALKING, 90, 17:13:20.000
STATIONARY, 99, 17:13:30.000
WALKING, 88, 17:13:40.000
STATIONARY, 97, 17:13:50.000
WALKING, 87, 17:14:00.000
STATIONARY, 96, 17:14:10.000
WALKING, 85, 17:14:20.000
STATIONARY, 98, 17:14:30.000
WALKING, 90, 17:14:40.000
STATIONARY, 99, 17:14:50.000
WALKING, 88, 17:15:00.000
STATIONARY, 97, 17:15:10.000
WALKING, 87, 17:15:20.000
STATIONARY, 96, 17:15:30.000
WALKING, 85, 17:15:40.000
STATIONARY, 98, 17:15:50.000
WALKING, 90, 17:16:00.000
STATIONARY, 99, 17:16:10.000
WALKING, 88, 17:16:20.000
STATIONARY, 97, 17:16:30.000
WALKING, 87, 17:16:40.000
STATIONARY, 96, 17:16:50.000
